DATE,AVG_HEALTH,close,volatility,volume,market_cap_ada,olrs
2025-03-02,1.105889574,0.18029505228186876,6.092091492267944,101162.507348,14423604.1825495,70.23
2025-03-03,1.449465733,0.17489456644236823,3.616192467650292,38252.387453,13991565.315389458,76.47
2025-03-04,2.026086773,0.16385526958031707,8.200452332579868,108858.180553,13108421.566425366,72.02
2025-03-05,2.106108578,0.16008426602800624,2.4028599488819893,25697.335745,12806741.282240499,78.04
2025-03-06,2.390971553,0.15961414914399297,0.9989276919794827,18977.766169,12769131.931519438,78.77
2025-03-07,2.681849513,0.17485334760205803,12.15984297242798,115055.23503,13988267.808164643,77.75
2025-03-08,3.30122873,0.1669625857534862,4.903325308242694,33523.233727000006,13357006.860278895,69.93
2025-03-09,3.327421861,0.16049670033626792,4.453459206366839,60571.692641,12839736.026901433,64.77
2025-03-10,3.332560479,0.16224966614145303,4.101153190946909,70236.255897,12979973.291316243,63.06
2025-03-11,3.694989242,0.16552312411251852,4.161084399078777,52763.128403,13241849.929001482,55.53
2025-03-12,4.01075937,0.16277799064107557,3.519561662668485,71551.62850800001,13022239.251286045,16.66
2025-03-13,3.433977481,0.16280052565506087,0.7481916864322655,14200.257305,13024042.05240487,67.64
